Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
E0,13/08/11,Blackburn,Wolves,1,2,A,1,1,D,K Friend,16,13,8,4,14,10,12,6,4,2,0,0,2.2,3.2,3.5,2,3.3,3.6,2.1,3.2,3.5,2,3.3,3.3,2,3.4,3.75,2,3.25,3.4,2.2,3.1,3.5,2.05,3.4,3.6,2.15,3.4,3.6,2,3.4,3.6,37,2.22,2.13,3.43,3.29,3.75,3.52,37,2.06,1.96,1.89,1.82,18,-0.5,2.2,2.14,1.78,1.74
E0,13/08/11,Fulham,Aston Villa,0,0,D,0,0,D,L Mason,13,7,9,1,10,18,2,3,2,4,0,0,2.2,3.2,3.5,2.05,3.3,3.45,2.1,3.2,3.5,2.2,3.2,3,2.2,3.3,3.3,2.1,3.2,3.2,2.2,3.2,3.4,2.1,3.3,3.5,2.15,3.3,3.75,2.1,3.25,3.4,38,2.2,2.12,3.43,3.28,3.86,3.53,34,2.21,2.11,1.77,1.69,21,-0.25,1.83,1.8,2.14,2.08
E0,13/08/11,Liverpool,Sunderland,1,1,D,1,0,H,P Dowd,11,15,4,6,17,12,6,3,4,4,0,0,1.57,3.6,7,1.45,3.85,7.5,1.5,3.75,7,1.4,4.1,7,1.5,3.75,7.5,1.4,4,7.5,1.57,3.75,6.5,1.5,3.9,7.5,1.53,4,7.5,1.5,3.75,7,37,1.57,1.5,4.2,3.92,8.04,7.3,37,1.92,1.85,2.01,1.92,21,-1,1.92,1.88,2.02,1.98
E0,13/08/11,Newcastle,Arsenal,0,0,D,0,0,D,P Walton,6,9,1,4,9,11,2,5,3,5,0,1,3.75,3.25,2.1,3.65,3.25,2,3.75,3.2,2,3.7,3.3,1.9,3.75,3.4,2,3.4,3.4,1.95,3.75,3.2,2.05,4,3.5,1.91,3.8,3.4,2.1,3.75,3.25,2.05,36,4,3.68,3.52,3.35,2.15,2.05,34,1.89,1.8,2.1,1.98,20,0.5,1.84,1.79,2.16,2.1
E0,13/08/11,QPR,Bolton,0,4,A,0,1,A,M Atkinson,13,13,7,7,9,16,3,2,1,2,1,0,2.4,3.25,3,2.25,3.25,3.05,2.3,3.2,3,2.3,3.2,2.8,2.38,3.25,3,2.3,3.2,2.8,2.4,3.1,3.1,2.3,3.25,3.2,2.38,3.3,3.3,2.3,3.25,3.1,37,2.4,2.3,3.4,3.26,3.4,3.14,34,2.27,2.16,1.73,1.66,19,-0.25,2,1.95,1.98,1.92
E0,13/08/11,Wigan,Norwich,1,1,D,1,1,D,S Attwell,18,13,11,3,11,8,7,3,2,2,0,0,2.2,3.2,3.5,2.05,3.25,3.5,2.1,3.2,3.5,1.9,3.3,3.7,2,3.4,3.75,2.1,3.25,3.2,2.2,3.2,3.4,2.1,3.4,3.4,2.2,3.4,3.5,2,3.25,3.75,37,2.2,2.1,3.46,3.31,3.85,3.55,37,1.96,1.89,1.99,1.88,19,-0.25,1.85,1.82,2.1,2.05
E0,14/08/11,Stoke,Chelsea,0,0,D,0,0,D,M Halsey,6,20,3,11,12,12,4,6,2,2,0,0,5.5,3.5,1.7,5.75,3.45,1.62,5,3.5,1.7,5.4,3.7,1.55,5.5,3.75,1.62,5,3.6,1.6,5.5,3.4,1.7,5.5,3.6,1.67,5.5,3.75,1.7,5.5,3.6,1.62,36,6.2,5.54,3.8,3.61,1.72,1.66,33,2.11,2,1.86,1.77,20,0.75,2.01,1.97,1.93,1.9
E0,14/08/11,West Brom,Man United,1,2,A,1,1,D,M Jones,14,11,8,5,16,9,6,5,3,2,0,0,6.5,4,1.53,6.5,3.8,1.5,6,4,1.5,5.4,3.7,1.55,7,4,1.5,6.5,4,1.44,7,3.75,1.53,6.5,4,1.53,7,4.2,1.53,7,4.2,1.44,36,7.25,6.66,4.33,4.02,1.56,1.51,32,1.75,1.71,2.18,2.08,22,1,1.99,1.94,1.98,1.93
E0,15/08/11,Man City,Swansea,4,0,H,0,0,D,M Dean,26,8,19,5,9,2,7,4,0,0,0,0,1.29,5,13,1.25,5.5,10,1.25,5,12,1.22,5.3,11,1.25,5.5,12,1.2,5.5,12,1.3,4.5,13,1.25,5.5,12,1.25,6,13,1.2,6,13,35,1.29,1.26,6.1,5.47,15,12.43,31,1.67,1.63,2.41,2.21,18,-1.5,1.88,1.83,2.11,2.03
E0,20/08/11,Arsenal,Liverpool,0,2,A,0,0,D,M Atkinson,10,13,6,8,11,6,9,5,2,2,1,0,2.5,3.25,2.9,2.45,3.3,2.95,2.5,3.1,2.8,2.3,3.2,2.8,2.38,3.25,3,2.4,3.1,2.75,2.6,3.2,2.75,2.5,3.2,2.9,2.5,3.12,3,2.62,3.1,2.75,35,2.67,2.53,3.3,3.2,3.02,2.86,31,2.11,2.03,1.82,1.76,20,0,1.86,1.81,2.12,2.05
