@relation soccer_premierleague_all

@attribute Div {E0}
@attribute Date {16/08/08,17/08/08,23/08/08,24/08/08,25/08/08,30/08/08,31/08/08,13/09/08,14/09/08,15/09/08,20/09/08,21/09/08,27/09/08,28/09/08,04/10/08,05/10/08,18/10/08,19/10/08,20/10/08,25/10/08,26/10/08,28/10/08,29/10/08,01/11/08,02/11/08,03/11/08,08/11/08,09/11/08,15/11/08,16/11/08,22/11/08,23/11/08,24/11/08,29/11/08,30/11/08,01/12/08,06/12/08,07/12/08,08/12/08,13/12/08,14/12/08,20/12/08,21/12/08,22/12/08,26/12/08,28/12/08,29/12/08,30/12/08,10/01/09,11/01/09,14/01/09,17/01/09,18/01/09,19/01/09,27/01/09,28/01/09,31/01/09,01/02/09,07/02/09,08/02/09,14/02/09,18/02/09,21/02/09,22/02/09,23/02/09,28/02/09,01/03/09,03/03/09,04/03/09,07/03/09,11/03/09,14/03/09,15/03/09,16/03/09,21/03/09,22/03/09,04/04/09,05/04/09,11/04/09,12/04/09,18/04/09,19/04/09,21/04/09,22/04/09,25/04/09,26/04/09,27/04/09,02/05/09,03/05/09,04/05/09,09/05/09,10/05/09,11/05/09,13/05/09,16/05/09,17/05/09,18/05/09,24/05/09,15/08/09,16/08/09,18/08/09,19/08/09,22/08/09,23/08/09,24/08/09,29/08/09,30/08/09,12/09/09,13/09/09,19/09/09,20/09/09,26/09/09,27/09/09,28/09/09,03/10/09,04/10/09,05/10/09,17/10/09,18/10/09,19/10/09,24/10/09,25/10/09,31/10/09,01/11/09,04/11/09,07/11/09,08/11/09,09/11/09,21/11/09,22/11/09,25/11/09,28/11/09,29/11/09,05/12/09,06/12/09,12/12/09,13/12/09,15/12/09,16/12/09,19/12/09,20/12/09,26/12/09,27/12/09,28/12/09,29/12/09,30/12/09,05/01/10,09/01/10,11/01/10,16/01/10,17/01/10,20/01/10,23/01/10,26/01/10,27/01/10,30/01/10,31/01/10,01/02/10,02/02/10,03/02/10,06/02/10,07/02/10,09/02/10,10/02/10,16/02/10,17/02/10,20/02/10,21/02/10,23/02/10,27/02/10,28/02/10,06/03/10,07/03/10,08/03/10,09/03/10,10/03/10,13/03/10,14/03/10,15/03/10,16/03/10,20/03/10,21/03/10,23/03/10,24/03/10,27/03/10,28/03/10,29/03/10,03/04/10,04/04/10,10/04/10,11/04/10,13/04/10,14/04/10,17/04/10,18/04/10,19/04/10,21/04/10,24/04/10,25/04/10,01/05/10,02/05/10,03/05/10,05/05/10,09/05/10,14/08/10,15/08/10,16/08/10,21/08/10,22/08/10,23/08/10,28/08/10,29/08/10,11/09/10,12/09/10,13/09/10,18/09/10,19/09/10,25/09/10,26/09/10,02/10/10,03/10/10,16/10/10,17/10/10,18/10/10,23/10/10,24/10/10,30/10/10,31/10/10,01/11/10,06/11/10,07/11/10,09/11/10,10/11/10,13/11/10,14/11/10,20/11/10,21/11/10,22/11/10,27/11/10,28/11/10,04/12/10,05/12/10,06/12/10,11/12/10,12/12/10,13/12/10,18/12/10,20/12/10,26/12/10,27/12/10,28/12/10,29/12/10,01/01/11,02/01/11,04/01/11,05/01/11,12/01/11,15/01/11,16/01/11,22/01/11,23/01/11,24/01/11,25/01/11,26/01/11,01/02/11,02/02/11,05/02/11,06/02/11,12/02/11,13/02/11,14/02/11,15/02/11,20/02/11,22/02/11,23/02/11,26/02/11,27/02/11,28/02/11,01/03/11,05/03/11,06/03/11,07/03/11,09/03/11,19/03/11,20/03/11,02/04/11,03/04/11,09/04/11,10/04/11,11/04/11,16/04/11,17/04/11,19/04/11,20/04/11,23/04/11,24/04/11,25/04/11,26/04/11,27/04/11,30/04/11,01/05/11,07/05/11,08/05/11,09/05/11,10/05/11,14/05/11,15/05/11,17/05/11,22/05/11,13/08/11,14/08/11,15/08/11,20/08/11,21/08/11,22/08/11,27/08/11,28/08/11,10/09/11,11/09/11,12/09/11,17/09/11,18/09/11,24/09/11,25/09/11,26/09/11,01/10/11,02/10/11,15/10/11,16/10/11,22/10/11,23/10/11,29/10/11,30/10/11,31/10/11,05/11/11,06/11/11}
@attribute HomeTeam {Arsenal,Bolton,Everton,Hull,Middlesbrough,Sunderland,'West Ham','Aston Villa',Chelsea,'Man United',Blackburn,Fulham,Liverpool,Newcastle,Stoke,Tottenham,'West Brom','Man City',Wigan,Portsmouth,Wolves,Birmingham,Burnley,Blackpool,QPR,Swansea,Norwich}
@attribute AwayTeam {'West Brom',Stoke,Blackburn,Fulham,Tottenham,Liverpool,Wigan,'Man City',Portsmouth,Newcastle,Hull,Arsenal,Middlesbrough,Bolton,'Aston Villa',Sunderland,Everton,'West Ham',Chelsea,'Man United',Burnley,Birmingham,Wolves,Blackpool,Norwich,Swansea,QPR}
@attribute FTHG numeric
@attribute FTAG numeric
@attribute FTR {H,A,D}
@attribute HTHG numeric
@attribute HTAG numeric
@attribute HTR {H,D,A}
@attribute Referee {'H Webb','C Foy','A Marriner','P Walton','M Atkinson','A Wiley','S Bennett','P Dowd','M Dean','M Riley','S Attwell','M Halsey','R Styles','K Stroud','M Jones','S Tanner','L Probert','L Mason','M Clattenburg','K Friend','St Bennett','Mn Atkinson','A Taylor','M Oliver','N Swarbrick','J Moss'}
@attribute HS numeric
@attribute AS numeric
@attribute HST numeric
@attribute AST numeric
@attribute HF numeric
@attribute AF numeric
@attribute HC numeric
@attribute AC numeric
@attribute HY numeric
@attribute AY numeric
@attribute HR numeric
@attribute AR numeric
@attribute B365H numeric
@attribute B365D numeric
@attribute B365A numeric
@attribute BWH numeric
@attribute BWD numeric
@attribute BWA numeric
@attribute GBH numeric
@attribute GBD numeric
@attribute GBA numeric
@attribute IWH numeric
@attribute IWD numeric
@attribute IWA numeric
@attribute LBH numeric
@attribute LBD numeric
@attribute LBA numeric
@attribute SBH numeric
@attribute SBD numeric
@attribute SBA numeric
@attribute WHH numeric
@attribute WHD numeric
@attribute WHA numeric
@attribute SJH numeric
@attribute SJD numeric
@attribute SJA numeric
@attribute VCH numeric
@attribute VCD numeric
@attribute VCA numeric
@attribute BSH numeric
@attribute BSD numeric
@attribute BSA numeric
@attribute Bb1X2 numeric
@attribute BbMxH numeric
@attribute BbAvH numeric
@attribute BbMxD numeric
@attribute BbAvD numeric
@attribute BbMxA numeric
@attribute BbAvA numeric
@attribute BbOU numeric
@attribute BbMx>2.5 numeric
@attribute BbAv>2.5 numeric
@attribute BbMx<2.5 numeric
@attribute BbAv<2.5 numeric
@attribute BbAH numeric
@attribute BbAHh numeric
@attribute BbMxAHH numeric
@attribute BbAvAHH numeric
@attribute BbMxAHA numeric
@attribute BbAvAHA numeric

@data
E0,16/08/08,Arsenal,'West Brom',1,0,H,1,0,H,'H Webb',24,5,14,4,11,8,7,5,0,0,0,0,1.2,6.5,15,1.22,5.5,10,1.22,5.5,13,1.2,5.2,11,1.2,5,11,1.2,5.5,12,1.17,5.5,12,1.2,5.5,12,1.25,6,13,1.22,5,13,40,1.26,1.22,6.25,5.6,17,13.52,37,1.71,1.65,2.25,2.14,26,-1.5,1.88,1.81,2.12,1.97
E0,16/08/08,Bolton,Stoke,3,1,H,3,0,H,'C Foy',14,8,8,2,13,12,4,3,1,2,0,0,1.83,3.5,4.5,1.75,3.3,4.4,1.83,3.25,4.5,1.75,3.3,4.2,1.73,3.4,4,1.8,3.25,4.2,1.8,3.1,4,1.8,3.2,4.33,1.85,3.4,4.8,1.8,3.25,4.33,44,1.87,1.81,3.51,3.35,5.3,4.54,37,2.33,2.16,1.7,1.64,27,0,1.35,1.31,3.56,3.27
E0,16/08/08,Everton,Blackburn,2,3,A,1,1,D,'A Marriner',10,15,5,11,11,9,3,5,2,2,0,0,2,3.3,4,1.85,3.25,4,2,3.25,3.75,2,3.2,3.3,1.8,3.2,4,1.9,3.25,3.75,1.95,3.1,3.5,2,3.25,3.4,2.05,3.3,4,2,3.25,3.5,44,2.06,1.98,3.39,3.25,4.21,3.86,37,2.34,2.17,1.7,1.63,28,0,1.73,1.43,3.05,2.76
E0,16/08/08,Hull,Fulham,2,1,H,1,1,D,'P Walton',11,12,6,6,10,9,5,6,3,0,0,0,2.6,3.2,2.8,2.45,3.15,2.65,2.6,3.25,2.6,2.4,3.2,2.6,2.4,3.25,2.5,2.5,3.2,2.6,2.5,2.9,2.62,2.38,3.2,2.75,2.6,3.4,2.8,2.6,3.25,2.5,44,2.7,2.56,3.38,3.23,2.89,2.68,37,2.32,2.15,1.69,1.64,26,0,1.91,1.85,2.07,1.94
E0,16/08/08,Middlesbrough,Tottenham,2,1,H,0,0,D,'M Atkinson',14,8,10,5,11,12,7,9,1,2,0,0,3.2,3.4,2.25,2.8,3.2,2.3,3,3.25,2.3,2.9,3.2,2.2,2.8,3.2,2.2,2.8,3.2,2.3,2.9,3.2,2.15,2.88,3.4,2.2,3.2,3.4,2.3,2.8,3.25,2.3,44,3.57,3.19,3.55,3.31,2.3,2.2,37,1.9,1.81,2.12,1.92,27,0,2.45,2.3,1.65,1.58
E0,16/08/08,Sunderland,Liverpool,0,1,A,0,0,D,'A Wiley',6,14,3,8,13,12,1,8,0,2,0,0,5.5,3.6,1.67,5,3.35,1.67,5,3.4,1.7,4.5,3.5,1.65,4.5,3.3,1.67,5,3.4,1.65,5.5,3.3,1.57,4.33,3.4,1.73,5.5,3.8,1.65,4.5,3.4,1.73,43,5.91,5.24,3.75,3.5,1.76,1.68,37,2.22,2.08,1.76,1.69,26,0.75,1.97,1.93,1.99,1.94
E0,16/08/08,'West Ham',Wigan,2,1,H,2,0,H,'S Bennett',15,22,8,9,14,11,6,10,2,1,0,0,1.91,3.4,4.2,1.9,3.2,3.8,1.91,3.25,4,1.8,3.3,3.8,1.8,3.2,4,1.9,3.25,3.75,1.83,3.2,3.75,1.91,3.25,3.75,1.9,3.5,4.35,1.91,3.25,3.8,44,2.09,1.94,3.4,3.27,4.4,3.98,37,2.22,2.1,1.75,1.68,27,0,1.43,1.39,3.2,2.82
E0,17/08/08,'Aston Villa','Man City',4,2,H,0,0,D,'P Dowd',14,13,10,8,8,11,7,8,0,1,0,0,1.91,3.4,4.33,1.95,3.2,3.6,1.91,3.25,4,2,3.2,3.3,1.83,3.2,3.75,1.9,3.25,3.75,1.91,3.2,3.5,1.91,3.25,3.75,1.9,3.5,4.35,1.91,3.3,3.75,42,2,1.84,3.55,3.32,5.05,4.36,34,2.33,2.12,1.73,1.66,25,0,1.4,1.36,3.25,2.95
E0,17/08/08,Chelsea,Portsmouth,4,0,H,3,0,H,'M Dean',18,12,11,8,10,6,8,3,0,1,0,0,1.33,5,10,1.3,4.75,8.25,1.33,4.75,9,1.3,4.4,8.5,1.29,4.33,9,1.3,4.5,9,1.3,4.2,8.5,1.25,5,10,1.33,5,11,1.33,4.2,10,40,1.36,1.32,5.2,4.69,12,10.05,36,2.01,1.9,1.93,1.83,25,-1.5,2.19,2.1,1.8,1.75
E0,17/08/08,'Man United',Newcastle,1,1,D,1,1,D,'M Riley',18,11,12,4,15,11,6,6,3,0,0,0,1.29,5.5,11,1.3,4.75,8.25,1.3,4.75,10,1.3,4.4,8.5,1.25,4.5,10,1.25,5,10,1.25,4.5,10,1.25,5,10,1.28,5.5,12,1.29,4.5,11,40,1.32,1.28,5.5,5.03,13,11,36,1.83,1.72,2.2,2.03,25,-1.5,2.08,2.02,1.91,1.83
E0,23/08/08,Blackburn,Hull,1,1,D,1,1,D,'S Attwell',12,7,5,4,11,15,6,3,0,1,0,0,1.57,3.75,7,1.55,3.45,6,1.6,3.6,5.5,1.6,3.6,4.8,1.62,3.6,6,1.57,3.5,5.5,1.57,3.8,6,1.62,3.6,6,1.55,3.75,7,1.57,3.6,6,43,1.62,1.58,3.91,3.64,7.42,6.16,37,2.1,1.98,1.9,1.76,24,0,1.2,1.19,4.5,4.23
E0,23/08/08,Fulham,Arsenal,1,0,H,1,0,H,'M Atkinson',5,15,2,6,14,6,1,5,2,0,0,0,6.5,3.75,1.57,6,3.45,1.55,6,3.5,1.6,5,3.5,1.6,6,3.6,1.62,5.5,3.5,1.57,6,3.8,1.57,6.5,3.75,1.57,6.5,3.9,1.55,6,3.6,1.57,42,6.8,6.09,3.91,3.65,1.63,1.58,37,2.08,1.95,1.89,1.8,24,0.75,2.12,2.06,1.84,1.81
E0,23/08/08,Liverpool,Middlesbrough,2,1,H,0,0,D,'M Riley',16,9,8,4,10,12,14,3,2,1,0,0,1.36,4.5,10,1.35,4.5,7.2,1.38,4.33,8,1.4,4,6.5,1.4,4.2,9,1.33,4.5,8,1.36,4.5,9.5,1.4,4.5,8,1.4,4.6,8.5,1.4,4,8.5,42,1.4,1.37,4.8,4.38,10.91,8.86,36,2.01,1.88,1.97,1.85,24,-1.25,1.92,1.9,2.03,1.97
E0,23/08/08,Newcastle,Bolton,1,0,H,0,0,D,'S Bennett',10,9,8,4,8,13,4,6,1,2,0,0,1.8,3.5,4.75,1.7,3.35,4.7,1.8,3.3,4.5,1.75,3.3,4.2,1.8,3.5,4.5,1.7,3.4,4.5,1.83,3.4,4.5,1.8,3.5,4.5,1.8,3.5,4.8,1.8,3.25,4.75,43,1.87,1.78,3.6,3.43,5.05,4.61,37,2.16,2.06,1.77,1.7,24,0,1.3,1.29,3.8,3.45
